computer_data,aspect_sentiment,review,aspects,sentiment_score,sentiment
## I purchased this monitor because of budgetary concerns .,, I purchased this monitor because of budgetary concerns .,,0,neutral
inexpensive[+1][a] ## This item was the most inexpensive 17 inch monitor available to me at the time I made the purchase .,inexpensive[+1][a] , This item was the most inexpensive 17 inch monitor available to me at the time I made the purchase .,inexpensive ,1,positive
monitor[-1] ## My overall experience with this monitor was very poor .,monitor[-1] , My overall experience with this monitor was very poor .,monitor ,-1,negative
"screen[-1], picture quality[-1] ## When the screen was n't contracting or glitching the overall picture quality was poor to fair .","screen[-1], picture quality[-1] ", When the screen was n't contracting or glitching the overall picture quality was poor to fair .,"screen, picture quality ",-1,negative
"monitor[-1], picture quality[-1] ## I 've viewed numerous different monitor models since I 'm a college student and this particular monitor had as poor of picture quality as any I 've seen .","monitor[-1], picture quality[-1] ", I 've viewed numerous different monitor models since I 'm a college student and this particular monitor had as poor of picture quality as any I 've seen .,"monitor, picture quality ",-1,negative
"screen[-1] ## A week out of the box and I began to see slight contractions of the screen from time to time , growing more frequent each day .",screen[-1] ," A week out of the box and I began to see slight contractions of the screen from time to time , growing more frequent each day .",screen ,-1,negative
Display[-1] ## Display glitches and flashes also occurred .,Display[-1] , Display glitches and flashes also occurred .,Display ,-1,negative
monitor[-1] ## I could tell this was a `` cheap '' monitor as soon as I set it up .,monitor[-1] , I could tell this was a `` cheap '' monitor as soon as I set it up .,monitor ,-1,negative
## I sent it back and now will search for a better quality monitor .,, I sent it back and now will search for a better quality monitor .,,0,neutral
"## I 'd stay away from this brand , that is , if you ever come across it again .",," I 'd stay away from this brand , that is , if you ever come across it again .",,0,neutral
## 3G Technologies ?,, 3G Technologies ?,,0,neutral
## Searches across the Net come up empty with these guys .,, Searches across the Net come up empty with these guys .,,0,neutral
## Two thumbs down .,, Two thumbs down .,,0,neutral
"monitor[-1], colors[-1] ## I used this monitor for 2 years and now it shows a mixture of various colors and de-focused text .","monitor[-1], colors[-1] ", I used this monitor for 2 years and now it shows a mixture of various colors and de-focused text .,"monitor, colors ",-1,negative
## I had a dell latitude netbook that I had to return .,, I had a dell latitude netbook that I had to return .,,0,neutral
size[+1] ## I really liked the size so I researched what to buy and this was it .,size[+1] , I really liked the size so I researched what to buy and this was it .,size ,1,positive
"computer[+1], quality[+1] ## This computer has an excellent screen size and quality -LRB- for a netbook -RRB- .","computer[+1], quality[+1] ", This computer has an excellent screen size and quality -LRB- for a netbook -RRB- .,"computer, quality ",1,positive
## It is bigger than the dell and the hp mini .,, It is bigger than the dell and the hp mini .,,0,neutral
"keyboard[+1], color[+1] ## The full sized keyboard is sweet not to mention the aquamarine color .","keyboard[+1], color[+1] ", The full sized keyboard is sweet not to mention the aquamarine color .,"keyboard, color ",1,positive
"speed[+1], memory[+1] ## That is surface stuff , but the speed and memory is very good .","speed[+1], memory[+1] "," That is surface stuff , but the speed and memory is very good .","speed, memory ",1,positive
## I use a netbook for all of my computing with the exception of tax programming and backup .,, I use a netbook for all of my computing with the exception of tax programming and backup .,,0,neutral
"laptop[+1], form[+1] ## This really is a laptop in a small form .","laptop[+1], form[+1] ", This really is a laptop in a small form .,"laptop, form ",1,positive
## I can use several programs at once with little difficulty .,, I can use several programs at once with little difficulty .,,0,neutral
windows 7 premium[+1] ## The windows 7 premium is good -LRB- do n't recommend starter -RRB- and user friendly .,windows 7 premium[+1] , The windows 7 premium is good -LRB- do n't recommend starter -RRB- and user friendly .,windows 7 premium ,7,positive
"## I can write reports , check social network , pictures , check email , read reviews , and shop at the same time .",," I can write reports , check social network , pictures , check email , read reviews , and shop at the same time .",,0,neutral
"slower[-1][a], screen quality[+1], hard drive[+1] ## It is slightly slower than the dell , but it is hard to notice with the very nice screen quality and larger hard drive .","slower[-1][a], screen quality[+1], hard drive[+1] "," It is slightly slower than the dell , but it is hard to notice with the very nice screen quality and larger hard drive .","slower, screen quality, hard drive ",-1,negative
screen[+1] ## The larger screen has allowed me to put all my photos on it -LRB- could n't on the dell -RRB- and edit them .,screen[+1] , The larger screen has allowed me to put all my photos on it -LRB- could n't on the dell -RRB- and edit them .,screen ,1,positive
## This has turned into a much better purchase than I expected and it is very light .,, This has turned into a much better purchase than I expected and it is very light .,,0,neutral
machine[+1] ## Overall a sweet machine .,machine[+1] , Overall a sweet machine .,machine ,1,positive
"## I 've purchased two of these netbooks , one for myself and the other for my girlfriend .",," I 've purchased two of these netbooks , one for myself and the other for my girlfriend .",,0,neutral
"## Sure , it 's no laptop , but you could have fooled me .",," Sure , it 's no laptop , but you could have fooled me .",,0,neutral
"light-weight[+1][a] ## It 's very light-weight , which is why I use this more than my Alienware .",light-weight[+1][a] ," It 's very light-weight , which is why I use this more than my Alienware .",light-weight ,1,positive
"## It does just what I need once fully configured : Add 4GB of ram , clean out pre-loaded junkware , and install CCleaner and MS Security Essentials .",," It does just what I need once fully configured : Add 4GB of ram , clean out pre-loaded junkware , and install CCleaner and MS Security Essentials .",,0,neutral
## Those who claim that this netbook falls apart need to stop using it for non-intended uses .,, Those who claim that this netbook falls apart need to stop using it for non-intended uses .,,0,neutral
"## It 's not a laptop , you need to learn its limitations -LRB- no Photoshop or power apps -RRB- and take care of your gear .",," It 's not a laptop , you need to learn its limitations -LRB- no Photoshop or power apps -RRB- and take care of your gear .",,0,neutral
## Buy a neoprene case and keep it protected .,, Buy a neoprene case and keep it protected .,,0,neutral
## Most people who have device failures simply push their gear to the limits and then when it fails they turn around and cry foul on the manufacturer .,, Most people who have device failures simply push their gear to the limits and then when it fails they turn around and cry foul on the manufacturer .,,0,neutral
"light-weight[+1][a], device[+1] ## It 's just such a nice , light-weight , non-intrusive device which you can take anywhere .","light-weight[+1][a], device[+1] "," It 's just such a nice , light-weight , non-intrusive device which you can take anywhere .","light-weight, device ",1,positive
## I 'm not a fan of tablet computers .,, I 'm not a fan of tablet computers .,,0,neutral
"## I think they are interesting , but they do n't serve any practical uses in my opinion , yet .",," I think they are interesting , but they do n't serve any practical uses in my opinion , yet .",,0,neutral
## At least from a work standpoint .,, At least from a work standpoint .,,0,neutral
"## You wo n't be disappointed with this netbook , and just encase you may want to purchase a Squaretrade warranty .",," You wo n't be disappointed with this netbook , and just encase you may want to purchase a Squaretrade warranty .",,0,neutral
## 5\/5 stars .,, 5\/5 stars .,,0,neutral
netbook[+1] ## I really love this netbook .,netbook[+1] , I really love this netbook .,netbook ,1,positive
## Huh ?!?!?!?!,, Huh ?!?!?!?!,,0,neutral
## I do n't get all the negative reviews from so many others about this product .,, I do n't get all the negative reviews from so many others about this product .,,0,neutral
monitor[+1] ## I 've had this monitor for over a year and I absolutely LOVE IT !,monitor[+1] , I 've had this monitor for over a year and I absolutely LOVE IT !,monitor ,1,positive
## Now I do n't know what kind of video card and connection others are using but I am using an ATI 9800 Pro and have the monitor hooked into the DVI Digital Output instead of the standard VGA which is analog .,, Now I do n't know what kind of video card and connection others are using but I am using an ATI 9800 Pro and have the monitor hooked into the DVI Digital Output instead of the standard VGA which is analog .,,0,neutral
picture[+1] ## I do n't think that really matters though - I mean hooked my Xbox 360 up to the standard VGA port a little while ago and the picture was awesome .,picture[+1] , I do n't think that really matters though - I mean hooked my Xbox 360 up to the standard VGA port a little while ago and the picture was awesome .,picture ,1,positive
"## I 'm not discounting anyone else 's opinion of the product by any means because maybe theirs came from a bad batch or something , but just so others can hear a positive review from someone that has been very happy with their purchase for a while now !",," I 'm not discounting anyone else 's opinion of the product by any means because maybe theirs came from a bad batch or something , but just so others can hear a positive review from someone that has been very happy with their purchase for a while now !",,0,neutral
"speakers[-1], monitor[-1] ## The only reason I did n't give it 5 stars is because the speakers on the monitor are a little weak , but that 's really to be expected is n't it ...","speakers[-1], monitor[-1] "," The only reason I did n't give it 5 stars is because the speakers on the monitor are a little weak , but that 's really to be expected is n't it ...","speakers, monitor ",-1,negative
netbook[+1] ## This netbook is exactly what I want for my kids .,netbook[+1] , This netbook is exactly what I want for my kids .,netbook ,1,positive
"## If I buy something for me , I would consider to buy the same too .",," If I buy something for me , I would consider to buy the same too .",,0,neutral
"lighter[+1][a], functionality[+1] ## it is lighter to carry around and it has enough functionality to use .","lighter[+1][a], functionality[+1] ", it is lighter to carry around and it has enough functionality to use .,"lighter, functionality ",1,positive
price[+1] ## Great replacement at great price for an older bulky and heavy monitor .,price[+1] , Great replacement at great price for an older bulky and heavy monitor .,price ,1,positive
"Color[+1], contrast[+1] ## Color and contrast are perfect for my needs .","Color[+1], contrast[+1] ", Color and contrast are perfect for my needs .,"Color, contrast ",1,positive
product[+1] ## Seems like a good product .,product[+1] , Seems like a good product .,product ,1,positive
"clicker[-1], mouse pad[-1] ## The only problem I have is the clicker on the mouse pad is stiff .","clicker[-1], mouse pad[-1] ", The only problem I have is the clicker on the mouse pad is stiff .,"clicker, mouse pad ",-1,negative
## Very compact and easy for travel .,, Very compact and easy for travel .,,0,neutral
monitor[+1] ## Excellent monitor .,monitor[+1] , Excellent monitor .,monitor ,1,positive
image[+1] ## Clear and crispy image .,image[+1] , Clear and crispy image .,image ,1,positive
"## Very , very satisfied with it .",," Very , very satisfied with it .",,0,neutral
"small[+1][a], computer[+1] ## My fiance ordered this computer , she 's a teacher so she needed a small computer that would keep her from bringing work home with her .","small[+1][a], computer[+1] "," My fiance ordered this computer , she 's a teacher so she needed a small computer that would keep her from bringing work home with her .","small, computer ",1,positive
"performance[+1] ## We got this on time , and it was brand new , perfect condition , performance as can be expected for the machine specifications , keep in mind I 'm extremely computer savvy , so my opinion comes to a lot of people .",performance[+1] ," We got this on time , and it was brand new , perfect condition , performance as can be expected for the machine specifications , keep in mind I 'm extremely computer savvy , so my opinion comes to a lot of people .",performance ,1,positive
"## I highly recommend it , she loves it and we 're both very happy with the purchase .",," I highly recommend it , she loves it and we 're both very happy with the purchase .",,0,neutral
"## If you 're debating getting this item , I would n't hesitate any longer .",," If you 're debating getting this item , I would n't hesitate any longer .",,0,neutral
computer[+1] ## I 'm not a person well read in technology but this is just an absolutely wonderful computer .,computer[+1] , I 'm not a person well read in technology but this is just an absolutely wonderful computer .,computer ,1,positive
"run[-1][v] ## I 've been playing Minecraft on it and multi tasking at the same time , and while it does run slower while multi-tasking , the gaming experience is not compromised for me .",run[-1][v] ," I 've been playing Minecraft on it and multi tasking at the same time , and while it does run slower while multi-tasking , the gaming experience is not compromised for me .",run ,-1,negative
keyboard[+1] ## The keyboard is also very nice and quite comfortable-although it does take some getting used to .,keyboard[+1] , The keyboard is also very nice and quite comfortable-although it does take some getting used to .,keyboard ,1,positive
computer[+1] ## I do n't want to be a sensationalist but this computer is incredible .,computer[+1] , I do n't want to be a sensationalist but this computer is incredible .,computer ,1,positive
netbook[+1] ## If you have netbook expectations you will be pleasantly surprised by how well this baby runs .,netbook[+1] , If you have netbook expectations you will be pleasantly surprised by how well this baby runs .,netbook ,1,positive
## If you have notebook expectations you will feel `` meh '' towards it because it runs like a low-grade to medium-grade notebook .,, If you have notebook expectations you will feel `` meh '' towards it because it runs like a low-grade to medium-grade notebook .,,0,neutral
"## Pros : The capabilities for size and price The keyboard size Windows Premium The look Cons : Be aware that the finish does smudge and gets finger printy , but all polished , it looks incredible Screen size -LRB- but its a netbook , duh ! -RRB-",," Pros : The capabilities for size and price The keyboard size Windows Premium The look Cons : Be aware that the finish does smudge and gets finger printy , but all polished , it looks incredible Screen size -LRB- but its a netbook , duh ! -RRB-",,0,neutral
"download[-1][v], run[-1][v] ## Slow to download and run certain programs Wish you the best and hope my review helped !","download[-1][v], run[-1][v] ", Slow to download and run certain programs Wish you the best and hope my review helped !,"download, run ",-1,negative
## Doing business with Amazon is pleasant .,, Doing business with Amazon is pleasant .,,0,neutral
"products[+1], price[+1] ## We count on good products at a good price .","products[+1], price[+1] ", We count on good products at a good price .,"products, price ",1,positive
Acer Monitor[+1] ## Our purchase of an Acer Monitor was just as we expected .,Acer Monitor[+1] , Our purchase of an Acer Monitor was just as we expected .,Acer Monitor ,1,positive
## No surprises .,, No surprises .,,0,neutral
## Received this item within a few days of ordering .,, Received this item within a few days of ordering .,,0,neutral
hook up[+1][v] ## Easy to hook up .,hook up[+1][v] , Easy to hook up .,hook up ,1,positive
picture[+1] ## Great picture .,picture[+1] , Great picture .,picture ,1,positive
monitor[+1] ## I am very happy with this monitor .,monitor[+1] , I am very happy with this monitor .,monitor ,1,positive
## I had been thinking a lot about changing my CRT montior to LCD monitor .,, I had been thinking a lot about changing my CRT montior to LCD monitor .,,0,neutral
"## I was waiting for lower pricess , faster respons time & wide screen monitor .",," I was waiting for lower pricess , faster respons time & wide screen monitor .",,0,neutral
"## I was keeping my eye on Samsung , Benq & Acer .",," I was keeping my eye on Samsung , Benq & Acer .",,0,neutral
"## Last week , I visited JAREER Bookstoor in Riyadh -LRB- Saudi Arabia -RRB- I found this LCD .",," Last week , I visited JAREER Bookstoor in Riyadh -LRB- Saudi Arabia -RRB- I found this LCD .",,0,neutral
"disign[+1], price[+1] ## It really impressed me with the disign , the specs & the price .","disign[+1], price[+1] "," It really impressed me with the disign , the specs & the price .","disign, price ",1,positive
"## So , I could not wait anylonger & I got it .",," So , I could not wait anylonger & I got it .",,0,neutral
## I will provide my comments about the disadvantages only because the advantages you may get it from the product specs .,, I will provide my comments about the disadvantages only because the advantages you may get it from the product specs .,,0,neutral
